Outcome,Fighter,Fightee,Str,TD,Sub,Pass,Str2,TD2,Sub2,Pass2,Name,Date,Method,Misc,Rounds,Time,
win,George Sullivan,Dominic Waters,54,13,2,5,3,0,2,4,The Ultimate Fighter 21 Finale,Jul. 12  2015,U-DEC,,3,05:00,
loss,George Sullivan,Tim Means,39,48,0,2,0,1,0,2,UFC Fight Night: Machida vs Rockhold,Apr. 18  2015,SUB,Arm Triangle,3,03:41,
win,George Sullivan,Igor Araujo,43,8,1,2,0,0,3,0,UFC Fight Night: Silva vs Arlovski,Sep. 13  2014,KO/TKO,Punch,2,02:31,
win,George Sullivan,Mike Rhodes,61,51,2,2,0,1,2,0,UFC on Fox: Henderson vs Thomson,Jan. 25  2014,U-DEC,,3,05:00,
loss,Amar Suloev,Denis Kang,6,15,0,1,0,2,0,2,PRIDE Bushido 12,Aug. 27  2006,SUB,Rear Naked Choke,1,04:10,
win,Amar Suloev,Murilo Bustamante,36,21,0,0,0,0,0,0,PRIDE Bushido 11,Jun. 04  2006,U-DEC,,2,05:00,
loss,Amar Suloev,Paulo Filho,3,7,0,1,0,1,0,2,PRIDE Bushido 6,Apr. 03  2005,SUB,Armbar,1,04:22,
win,Amar Suloev,Dean Lister,32,24,0,1,0,0,1,0,PRIDE Bushido 4,Jul. 19  2004,S-DEC,,2,05:00,
loss,Amar Suloev,Phil Baroni,9,11,1,0,1,0,1,1,UFC 37: High Impact,May. 10  2002,KO/TKO,Punches,1,02:59,
loss,Amar Suloev,Chuck Liddell,26,46,0,0,0,0,0,0,UFC 35: Throwdown,Jan. 11  2002,U-DEC,,3,05:00,
loss,Magomed Sultanakhmedov,Zelg Galesic,0,4,1,0,1,1,0,1,DREAM 2: Middleweight Grand Prix 2008 1st Round,Apr. 29  2008,SUB,Armbar,1,01:40,
loss,Jason Suttie,Sergei Kharitonov,5,12,0,2,0,1,0,3,PRIDE Bushido 1,Oct. 05  2003,SUB,Armbar,1,02:25,
win,Joel Sutton,Geza Kalman,0,0,0,0,0,0,0,0,UFC 7: The Brawl in Buffalo,Sep. 08  1995,KO/TKO,,1,00:48,
win,Joel Sutton,Jack McGlaughlin,0,0,0,0,0,0,0,0,UFC 6: Clash of the Titans,Jul. 14  1995,KO/TKO,Punches,1,02:01,
loss,Chad Sutton,Spencer Hearns,0,0,0,0,0,0,0,0,Strikeforce Challengers 1,May. 15  2009,M-DEC,,3,03:00,
loss,Martin Svensson,David Teymur,13,38,0,1,0,0,0,0,UFC Fight Night: Silva vs Bisping,Feb. 27  2016,KO/TKO,Punch,2,01:26,
loss,Cub Swanson,Shane Burgos,129,134,0,0,0,0,0,0,UFC Fight Night: Iaquinta vs. Cowboy,May. 04  2019,S-DEC,,3,05:00,
loss,Cub Swanson,Renato Moicano,20,17,0,1,0,1,0,4,UFC 227: Dillashaw vs. Garbrandt 2,Aug. 04  2018,SUB,Rear Naked Choke,1,04:15,
loss,Cub Swanson,Frankie Edgar,48,58,0,0,0,0,0,0,UFC Fight Night: Barboza vs. Lee,Apr. 21  2018,U-DEC,,3,05:00,
loss,Cub Swanson,Brian Ortega,60,24,0,0,0,2,0,0,UFC Fight Night: Swanson vs. Ortega,Dec. 09  2017,SUB,Guillotine Choke,2,03:22,
win,Cub Swanson,Artem Lobov,209,123,2,2,0,0,4,0,UFC Fight Night: Swanson vs. Lobov,Apr. 22  2017,U-DEC,,5,05:00,
win,Cub Swanson,Dooho Choi,111,77,2,1,0,0,1,0,UFC 206: Holloway vs. Pettis,Dec. 10  2016,U-DEC,,3,05:00,
win,Cub Swanson,Tatsuya Kawajiri,67,23,1,3,1,0,3,3,UFC Fight Night: Rodriguez vs. Caceres,Aug. 06  2016,U-DEC,,3,05:00,
win,Cub Swanson,Hacran Dias,83,55,0,0,0,0,1,0,UFC Fight Night: Teixeira vs Evans,Apr. 16  2016,U-DEC,,3,05:00,
loss,Cub Swanson,Max Holloway,56,82,0,0,0,3,0,2,UFC Fight Night: Machida vs Rockhold,Apr. 18  2015,SUB,Guillotine Choke,3,03:58,
loss,Cub Swanson,Frankie Edgar,31,93,0,7,0,2,0,16,UFC Fight Night: Edgar vs Swanson,Nov. 22  2014,SUB,Neck Crank,5,04:56,
win,Cub Swanson,Jeremy Stephens,87,65,0,2,0,0,0,0,UFC Fight Night: Swanson vs Stephens,Jun. 28  2014,U-DEC,,5,05:00,
win,Cub Swanson,Dennis Siver,43,26,1,1,0,0,1,2,UFC 162: Silva vs Weidman,Jul. 06  2013,KO/TKO,Punches,3,02:24,
win,Cub Swanson,Dustin Poirier,58,58,2,2,0,0,3,0,UFC on FUEL TV: Barao vs McDonald,Feb. 16  2013,U-DEC,,3,05:00,
win,Cub Swanson,Charles Oliveira,9,6,0,1,0,0,0,0,UFC 152: Jones vs Belfort,Sep. 22  2012,KO/TKO,Punch,1,02:40,
win,Cub Swanson,Ross Pearson,45,38,0,3,0,0,0,0,UFC on FX: Maynard vs Guida,Jun. 22  2012,KO/TKO,Punch,2,04:14,
win,Cub Swanson,George Roop,43,35,2,0,0,0,0,0,UFC on FOX: Evans vs Davis,Jan. 28  2012,KO/TKO,Punch,2,02:22,
loss,Cub Swanson,Ricardo Lamas,17,9,1,2,1,1,1,1,UFC on Fox: Velasquez vs Dos Santos,Nov. 12  2011,SUB,Arm Triangle,2,02:16,
win,Cub Swanson,Mackens Semerzier,83,65,4,3,0,1,0,3,WEC 52: Faber vs. Mizugaki,Nov. 11  2010,S-DEC,,3,05:00,
loss,Cub Swanson,Chad Mendes,27,17,0,8,0,0,0,4,WEC 50: Cruz vs. Benavidez,Aug. 18  2010,U-DEC,,3,05:00,
win,Cub Swanson,John Franchi,49,38,3,4,1,0,0,1,WEC 44: Brown vs. Aldo,Nov. 18  2009,SUB,Guillotine Choke,3,04:50,
loss,Cub Swanson,Jose Aldo,0,2,0,0,0,0,0,0,WEC 41: Brown vs. Faber 2,Jun. 07  2009,KO/TKO,Flying Knee,1,00:08,
win,Cub Swanson,Hiroyuki Takaya,42,39,3,2,1,0,4,1,WEC 37: Torres vs. Tapia,Dec. 03  2008,U-DEC,,3,05:00,
loss,Cub Swanson,Jens Pulver,0,0,0,0,0,1,0,0,WEC 31: Faber vs. Curran,Dec. 12  2007,SUB,Anaconda Choke,1,00:35,
win,Cub Swanson,Micah Miller,36,14,2,3,4,2,4,5,WEC 28: Faber vs. Farrar,Jun. 03  2007,U-DEC,,3,05:00,
win,Cub Swanson,Tommy Lee,1,0,0,1,2,0,0,0,WEC 26: Condit vs. Alessio,Mar. 24  2007,SUB,Guillotine Choke,1,03:17,
loss,Mike Swick,Alex Garcia,19,24,0,5,0,0,0,5,UFC 189: Mendes vs McGregor,Jul. 11  2015,U-DEC,,3,05:00,
loss,Mike Swick,Matt Brown,9,25,0,1,0,2,1,0,UFC on Fox: Henderson vs Diaz,Dec. 08  2012,KO/TKO,Punches,2,02:31,
win,Mike Swick,DaMarques Johnson,19,17,1,2,0,0,0,1,UFC on FOX: Shogun vs Vera,Aug. 04  2012,KO/TKO,Punch,2,01:20,
