First,Last,Height,Weight,Reach,Stance,Birth,SLpM,Str. Acc., SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws, Last_3_W, Last_3_L, W_Streak, L_Streak, KOs, Subs, UFC_Fights, Fight_Time,
Carlo,Prater,"5'11""",155lbs.,"72""",Switch,Jun25 1981,2.03,47,4.07,35,0.43,9,57,1.7,30,12,1,1,2,0,2,1,2,35.53,6,
Michel,Prazeres,"5'6""",170lbs.,"67""",Orthodox,Jul25 1981,2.44,47,2.49,58,4.11,36,50,0.6,26,3,0,2,1,0,1,0,3,164.17,13,
Philip,Preece,"5'8""",205lbs.,--,Orthodox,--,0.8,72,0.7,63,0,0,0,0,10,14,0,0,1,0,1,0,0,10,1,
Kyle,Prepolec,"5'10""",170lbs.,"70""",Southpaw,Aug30 1989,3.2,34,4.7,54,0,0,40,0,12,7,0,0,2,0,2,0,0,30,2,
Dorian,Price,"6'3""",170lbs.,--,Southpaw,Aug20 1977,0,0,0,0,0,0,0,0,8,4,0,0,1,0,1,0,1,0.38,1,
Chris,Price,"6'2""",185lbs.,--,Southpaw,Nov09 1982,1.44,66,2.59,48,0,0,33,2.2,18,3,0,0,2,0,2,1,1,6.95,2,
Niko,Price,"6'0""",170lbs.,"76""",Orthodox,Sep29 1989,2.96,33,4.44,51,1.11,25,61,1.4,13,3,0 (1 NC),1,2,0,1,5,3,54.07,10,
Shane,Primm,"6'3""",205lbs.,--,Orthodox,Jul30 1984,0.83,26,2.25,62,1.78,20,0,0,6,5,0,0,1,0,1,0,1,8.45,1,
Brent,Primus,"5'10""",155lbs.,--,,Apr12 1985,1.73,39,2.27,59,5,38,0,2,8,0,0,0,0,0,0,0,0,0,0,
Lara,Procopio,"5'4""",135lbs.,"67""",Orthodox,Nov14 1995,11,56,11.4,51,0,0,0,0,6,1,0,0,1,0,1,0,0,15,1,
Joe,Proctor,"5'10""",155lbs.,"72""",Orthodox,Aug10 1985,3.39,36,3.93,59,0,0,70,1.8,11,5,0,1,2,0,2,4,2,65.42,8,
Cole,Province,"5'9""",145lbs.,"68""",Orthodox,Jan17 1981,1.47,44,2.72,43,2.4,50,83,1,6,2,0 (1 NC),1,2,0,1,1,0,31.3,3,
Daniel,Puder,"6'3""",235lbs.,--,Orthodox,Oct09 1981,2.77,68,1.17,38,1.21,50,81,9,8,0,0,3,0,4,0,0,3,24.88,4,
Lucie,Pudilova,"5'8""",125lbs.,"67""",Orthodox,Jun13 1994,4.56,38,4.08,52,0.18,12,64,0.7,8,5,0,0,3,0,3,0,1,81.33,6,
Claudio,Puelles,"5'11""",155lbs.,"72""",Southpaw,Apr21 1996,1.95,44,3.73,50,3.06,36,0,1.3,10,2,0,2,1,2,0,1,1,34.3,3,
Bubba,Pugh,"5'10""",185lbs.,--,,--,2.87,67,2.6,23,4,57,80,0,3,3,0,0,0,0,0,0,0,0,0,
Juan,Puig,"5'9""",145lbs.,"72""",Orthodox,Apr23 1989,4.91,23,7.17,51,0,0,0,0,11,4,0,0,2,0,2,2,0,2.65,2,
Hugh,Pulley,"6'0""",155lbs.,--,,--,4.47,63,3.27,57,4,66,69,0,6,3,0,0,0,0,0,0,0,0,0,
Josh,Pulsifer,"5'10""",145lbs.,--,,Mar16 1983,0,0,0,0,0,0,0,0,16,7,0,1,0,1,0,0,1,1.08,1,
Jens,Pulver,"5'7""",145lbs.,"70""",Southpaw,Dec06 1974,2.12,37,3.13,56,0.22,33,63,0.3,25,15,1,0,3,0,5,9,5,171.65,20,
Mike,Pyle,"6'0""",170lbs.,"74""",Orthodox,Sep18 1975,2.74,45,2.84,60,1.8,35,70,1.5,27,14,1,0,3,0,3,12,7,177.33,24,
Bao,Quach,"5'3""",145lbs.,--,Orthodox,Sep04 1979,0,0,0,0,0,0,0,0,18,10,1,1,1,1,0,0,0,30,2,
Gary,Quan,"5'8""",143lbs.,--,,Apr11 1971,0,0,0,0,0,0,0,0,3,5,0,0,1,0,1,1,0,4.62,1,
Billy,Quarantillo,"5'10""",145lbs.,--,Orthodox,Dec08 1988,12.25,78,5.31,42,0,0,60,0,11,2,0,0,0,0,0,0,0,0,0,
Nate,Quarry,"6'0""",185lbs.,"72""",OpenStance,Mar18 1972,4.96,44,2.8,66,0.25,33,60,0,12,4,0,2,1,0,1,7,1,60.05,10,
Vinicius,Queiroz,"6'7""",220lbs.,--,,Aug29 1983,3.67,51,4.1,41,5.07,70,100,0.7,5,2,0,0,1,0,1,0,1,11.72,1,
Jimmy,Quinlan,"6'0""",185lbs.,"72""",Orthodox,May25 1986,2.08,70,5.94,16,4.46,25,0,0,3,1,1,0,1,0,1,1,0,3.37,1,
Ryan,Quinn,"5'8""",145lbs.,--,,--,2.31,41,1.67,48,0,0,0,1.9,13,7,1,0,0,0,0,0,0,0,0,
Michel,Quinones,"5'10""",155lbs.,"73""",Orthodox,Dec22 1984,2.91,29,5.98,48,0,0,36,0,8,3,0,0,2,0,2,1,0,24.4,2,
Jose,Quinonez,"5'8""",135lbs.,"69""",,Jul28 1990,3.49,47,2.43,68,2.64,45,50,0.7,9,3,0,2,1,1,0,0,2,85.33,7,
Benji,Radach,"5'10""",185lbs.,--,Orthodox,Apr05 1979,2.62,49,2.31,51,1.06,41,71,0.4,21,7,0 (1 NC),1,2,0,2,3,0,55.63,6,
Jordan,Radev,"5'7""",185lbs.,--,Southpaw,Sep28 1976,1.35,23,2.38,66,0,0,80,0,23,5,0,0,2,0,2,1,0,15.55,2,
Gilbert,Rael,"5'8""",155lbs.,--,,--,0,0,7.46,37,4.86,100,0,0,1,3,0,0,1,0,1,1,0,3.08,1,
Josh,Rafferty,"6'0""",170lbs.,--,Orthodox,Jan06 1981,0.6,33,3.6,50,0,0,0,9,9,8,0,0,1,0,1,1,0,1.67,1,
Amir,Rahnavardi,"6'0""",205lbs.,--,Orthodox,Dec07 1974,0.67,25,0,100,0,0,50,0,11,10,0,0,2,0,2,1,1,8.85,2,
Ricky,Rainey,"6'1""",170lbs.,"77""",Switch,Jun29 1983,2.55,48,2.62,46,0.95,18,55,0,13,6,0,0,2,0,2,2,0,10.5,2,
Shavkat,Rakhmonov,"6'1""",170lbs.,--,,Oct23 1994,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,
Aleksandar,Rakic,"6'4""",205lbs.,"78""",Orthodox,Feb06 1992,5.25,52,1.63,50,1.29,60,88,0,12,1,0,3,0,4,0,2,0,34.87,5,
Jessica,Rakoczy,"5'7""",115lbs.,"68""",Orthodox,Apr14 1977,2.5,44,3.55,64,0.75,20,0,0.8,2,5,0 (1 NC),0,2,0,2,1,0,19.98,2,
Thomas,Ramirez,"6'1""",410lbs.,--,Sideways,--,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0.13,1,
Hector,Ramirez,"6'0""",205lbs.,--,Orthodox,Mar28 1976,2.27,41,4.6,56,2.3,55,66,0.5,9,4,1,0,3,0,3,1,0,32.6,3,
Matt,Ramirez,"5'5""",125lbs.,--,,--,3.03,50,0.67,75,2.53,16,100,0,2,3,0,0,0,0,0,0,0,0,0,
Steve,Ramirez,"5'7""",125lbs.,--,,--,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,
Amador,Ramirez,--,135lbs.,--,,Jun14 1990,4.93,51,2.07,69,1,33,0,0,5,4,0,0,0,0,0,0,0,0,0,
Andrew,Ramm,"6'1""",160lbs.,--,,--,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,
Ian,Rammel,"6'0""",185lbs.,--,,Jul22 1985,0,0,0,0,0,0,0,0,4,3,0,0,1,0,1,1,0,4.38,1,
Luis,Ramos,"5'8""",170lbs.,--,Orthodox,Jan18 1981,2.4,35,5.6,42,1.5,20,100,0,19,8,2,0,2,0,2,2,0,10,2,
Ricardo,Ramos,"5'6""",135lbs.,"69""",Orthodox,Aug01 1995,3.08,40,3.26,59,1.77,63,75,0.5,13,2,0,2,1,1,0,2,0,59.43,5,
Davi,Ramos,"5'6""",155lbs.,"70""",Orthodox,Nov05 1986,2.74,39,2.8,57,2.42,50,100,0.7,10,3,0,2,1,0,1,0,3,62.03,6,
Vernon,Ramos,"5'6""",170lbs.,"72""",Orthodox,Jun03 1992,4,25,8,55,0,0,0,0,3,2,0,0,1,0,1,1,0,0.5,1,
Kevin,Randleman,"5'10""",205lbs.,--,Orthodox,Aug10 1971,1.26,54,1.12,57,2,56,30,0.8,17,16,0,0,3,0,7,6,6,211.35,20,
Raou,Raou,"5'8""",195lbs.,--,Orthodox,--,2.01,16,6.75,60,0,0,0,0,0,1,0,0,1,0,1,1,0,5.48,1,
David,Rasouli,"5'7""",155lbs.,--,,--,0,0,0,0,0,0,0,0,2,3,0,1,0,1,0,0,0,13,1,
Hussain,Rasouli,"5'6""",135lbs.,--,,--,0,0,0,0,0,0,0,0,2,3,0,0,1,0,1,0,0,13,1,
Ed,Ratcliff,"5'10""",155lbs.,"71""",Orthodox,Mar05 1983,2.71,38,2.96,63,0.28,16,53,0,7,3,0,1,2,0,2,2,2,53.43,6,
Bec,Rawlings,"5'6""",125lbs.,"64""",Orthodox,Feb11 1989,4.48,42,5.66,57,0.71,40,68,0.4,7,8,0,0,3,0,4,1,1,84.43,7,
Gideon,Ray,"5'10""",185lbs.,--,Southpaw,May27 1973,2.08,40,2.58,53,1.49,100,0,0,17,14,1,0,3,0,3,2,1,10.08,3,
Joe,Ray,--,170lbs.,--,,Dec17 1984,0,0,0,0,0,0,0,0,5,3,0,1,2,0,2,1,0,33.23,3,
Stevie,Ray,"5'10""",155lbs.,"70""",Southpaw,Mar25 1990,3.46,44,2.61,54,0.71,55,55,0.7,22,9,0,1,2,0,1,4,0,105.32,11,
Keenan,Raymond,--,165lbs.,--,,--,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,
Iony,Razafiarison,"5'3""",145lbs.,--,,Dec23 1984,1.2,42,1.4,53,2,50,75,0,2,1,0 (1 NC),0,0,0,0,0,0,0,0,
Abdul,Razak Alhassan,"5'10""",170lbs.,"73""",Orthodox,Aug11 1985,4.59,46,4.2,59,0.57,33,53,0,10,1,0,3,0,3,0,4,0,24.73,5,
Antony,Rea,"6'0""",205lbs.,--,Orthodox,Jul15 1976,2.89,28,5.42,42,0,0,100,0,22,13,0,0,1,0,1,1,0,2.77,1,
Rafael,Rebello,"5'5""",135lbs.,"67""",Orthodox,Oct16 1980,2.19,32,3.29,58,2.82,33,75,0.5,7,4,0,1,2,0,1,0,1,31.92,3,
Greg,Rebello,"6'0""",240lbs.,"73""",Southpaw,Jun13 1982,2.61,39,2.92,58,0,0,0,0,24,8,0,0,0,0,0,0,0,0,0,
Paul,Redmond,"5'10""",145lbs.,"70""",Orthodox,Oct20 1986,0.72,34,2.99,41,0,0,50,0,10,6,0,0,2,0,2,1,0,18.07,2,
Dennis,Reed,--,205lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,43,52,1,0,1,0,1,0,1,1.93,1,
Karl,Reed,"6'3""",205lbs.,"78""",Orthodox,Oct27 1988,2.04,44,3.84,38,1.06,22,53,0,6,1,0,0,0,0,0,0,0,0,0,
John,Reedy,"5'8""",155lbs.,--,,--,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,
Johnny,Rees,"6'0""",170lbs.,--,Orthodox,Oct21 1982,3.29,64,0.84,47,1.15,25,50,0,12,4,0 (1 NC),0,2,0,2,0,2,13.08,2,
James,Reese,"5'9""",155lbs.,--,,Dec21 1980,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1,0,1,12.42,1,
Stephen,Regman,"5'11""",185lbs.,"76""",Orthodox,Aug05 1991,1.41,60,4.93,23,3.52,100,0,0,9,3,0,0,0,0,0,0,0,0,0,
Chad,Reiner,"5'11""",170lbs.,--,Orthodox,Jun29 1981,0.53,20,1.97,46,0.99,33,25,2,28,13,0,0,2,0,2,1,0,15.22,2,
Jason,Reinhardt,"5'6""",135lbs.,--,Orthodox,Oct31 1969,0.51,40,4.07,43,1.91,12,50,0,20,3,0,0,3,0,3,1,2,7.87,3,
Wilson,Reis,"5'4""",125lbs.,"65""",Southpaw,Jan06 1985,1.83,29,3.04,55,5.15,42,47,0.6,23,10,0,1,2,0,1,2,3,148.48,13,
Ben,Reiter,"6'3""",185lbs.,--,,Jun27 1987,1.8,46,1.53,54,7,43,0,0,17,2,1,0,0,0,0,0,0,0,0,
Goran,Reljic,"6'3""",205lbs.,"81""",Southpaw,Mar20 1984,1.69,37,2.69,59,1.69,50,33,1.1,9,3,0,0,3,0,3,1,0,53.25,4,
Leigh,Remedios,"5'7""",155lbs.,--,Orthodox,Jan13 1976,0.75,41,1.36,68,0,0,33,0,17,9,2,0,1,0,1,0,1,6.63,1,
Chance,Rencountre,"6'2""",170lbs.,"75""",Southpaw,Dec31 1986,0.8,16,2.87,49,1.85,28,16,0.5,14,3,0,2,1,2,0,0,1,32.42,3,
Marion,Reneau,"5'6""",135lbs.,"68""",Orthodox,Jun20 1977,3.46,41,2.93,65,0.35,100,51,1.1,9,5,1,1,2,0,2,2,2,128.52,10,
John,Renken,"6'0""",190lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,19,28,3 (1 NC),0,1,0,1,0,1,6.73,1,
Herman,Renting,"6'0""",215lbs.,--,Switch,--,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,1,3.8,1,
Polo,Reyes,"5'11""",155lbs.,"71""",,Nov07 1984,6,37,5.52,59,0,0,46,0,8,8,0,0,3,0,3,7,0,43.98,8,
Dominick,Reyes,"6'4""",205lbs.,"77""",Southpaw,Dec26 1989,5.05,52,2.27,58,0.4,16,85,0.4,11,0,0,3,0,5,0,2,1,37.05,6,
Alex,Reyes,"5'11""",170lbs.,"73""",Orthodox,Oct02 1986,4.56,46,8.35,38,0,0,0,0,13,3,0,0,1,0,1,1,0,1.32,1,
Victor,Reyna,"5'11""",170lbs.,"73""",Southpaw,Aug05 1986,5.93,66,4.07,40,0,0,100,0,10,3,0 (1 NC),0,0,0,0,0,0,0,0,
Gaston,Reyno,"6'0""",145lbs.,--,,Nov11 1986,7.79,62,3.9,44,0,0,0,11.7,6,2,0 (2 NC),0,0,0,0,0,0,0,0,
Johnny,Rhodes,"6'0""",210lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,2,1,0,2,1,2,0,1,2,5.45,3,
Mike,Rhodes,"6'1""",170lbs.,"74""",Orthodox,Dec04 1989,3.2,39,4.13,64,0.96,33,75,0.5,6,4,0,0,3,0,3,0,1,31.25,3,
Lucrezia,Ria,"5'6""",125lbs.,--,Orthodox,Jun24 1992,4.07,46,4.4,45,1,33,0,0,7,2,0,0,0,0,0,0,0,0,0,
Amanda,Ribas,"5'3""",115lbs.,"66""",Orthodox,Aug26 1993,2.93,51,0.98,72,4.19,40,0,4.2,7,1,0,1,0,1,0,0,1,7.17,2,
Vitor,Ribeiro,"5'8""",154lbs.,--,Orthodox,Feb24 1979,1,28,1.95,48,1.58,26,100,1.2,20,5,0,0,3,0,3,2,2,65.5,7,
Will,Ribeiro,"5'8""",135lbs.,--,Orthodox,Feb17 1983,1.83,28,1.64,74,1.15,100,50,2.9,10,2,0,1,1,0,1,0,1,26.18,2,
Mike,Ricci,"6'0""",155lbs.,"77""",Southpaw,Mar18 1986,1.8,32,1.64,65,0.67,100,54,0,9,4,0,1,2,0,1,0,0,45,3,
Alessandro,Ricci,"5'11""",155lbs.,"69""",Orthodox,Jul21 1982,2.48,41,2.53,64,0,0,64,0,10,5,0,0,2,0,2,1,0,19.73,2,
Matt,Ricehouse,--,155lbs.,--,,Mar11 1987,3.7,44,4.8,47,1,22,81,0,5,1,0,2,1,0,1,0,1,70.75,5,
John,Richard,--,205lbs.,--,,May22 1982,0,0,0,0,0,0,0,0,3,3,1,0,1,0,1,0,1,7,1,
Rex,Richards,"6'5""",265lbs.,--,,--,17.65,58,5.29,72,0,0,0,0,7,2,0,2,0,2,0,1,1,2.6,2,
Mike,Richman,"5'8""",135lbs.,--,,Jun23 1985,4.06,44,3.49,43,0,0,76,0,18,7,0,0,0,0,0,0,0,0,0,
Dave,Rickels,"5'11""",155lbs.,--,,Jan05 1989,4.29,59,5.53,42,0,0,25,0,18,4,0 (2 NC),0,0,0,0,0,0,0,0,
Brad,Riddell,"5'8""",155lbs.,--,Orthodox,Sep30 1991,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,
Matthew,Riddle,"6'1""",170lbs.,"74""",Southpaw,Jan14 1986,3.01,42,2.74,54,3.51,50,89,0.5,7,3,0 (2 NC),1,0,2,0,2,0,166.9,12,
Joe,Riggs,"6'0""",185lbs.,"70""",Southpaw,Sep23 1982,2.41,51,1.69,57,2.45,55,62,0.6,41,17,0 (1 NC),1,2,0,1,9,5,128.73,19,
Jeremiah,Riggs,"6'0""",185lbs.,--,,Dec17 1982,0,0,0,0,0,0,0,0,7,5,0,1,0,1,0,0,0,15,1,
Aaron,Riley,"5'8""",155lbs.,"69""",Southpaw,Dec09 1980,3.45,34,3.78,61,1.18,34,60,0.1,29,14,1,1,2,0,2,5,0,101.37,10,
Jason,Riley,"6'6""",245lbs.,--,,Sep22 1975,0,0,9.68,33,0,0,50,0,9,6,0,0,2,0,2,2,0,2.9,2,
Moise,Rimbon,"5'10""",205lbs.,--,Orthodox,Apr20 1977,0.8,34,1,71,1,50,37,0,18,9,3,0,1,0,1,0,0,15,1,
Jordan,Rinaldi,"5'10""",145lbs.,"72""",Orthodox,Sep25 1987,1.56,35,2.32,59,1.45,35,20,1.2,14,7,0,1,2,0,1,1,1,51.78,5,
Nick,Ring,"6'0""",185lbs.,"74""",Southpaw,Feb10 1979,3.52,42,3.48,62,1.36,36,52,0.3,13,3,0,1,2,0,2,0,1,88.55,6,
Mike,Rio,"5'10""",155lbs.,"71""",Orthodox,Jul06 1981,1.68,39,2.99,53,2.58,27,0,1,9,4,0,0,3,0,3,1,3,29.12,4,
Albert,Rios,"5'8""",145lbs.,--,,--,0,0,0,0,0,0,0,0,13,6,0,1,0,1,0,0,0,15,1,
Rafael,Rios,--,150lbs.,--,,--,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,0,0,15,1,
Maria,Rios,"5'5""",125lbs.,--,,May31 1983,2.93,34,4.13,56,2,50,100,0,2,3,0,0,0,0,0,0,0,0,0,
Shannon,Ritch,"5'9""",190lbs.,--,Orthodox,Sep27 1970,1,100,6,50,0,0,0,0,47,74,0 (4 NC),0,2,0,2,0,2,2.13,2,
Diego,Rivas,"5'8""",145lbs.,"69""",Orthodox,Nov11 1991,1.37,40,2.14,52,1.79,60,64,0.9,7,2,0,1,2,0,2,1,0,50.38,4,
Jorge,Rivera,"6'1""",185lbs.,"73""",Orthodox,Feb28 1972,3.16,48,2.64,54,0.84,50,63,0.1,19,9,0,1,2,1,0,9,3,124.53,16,
Dante,Rivera,"6'1""",185lbs.,--,Southpaw,Dec08 1974,2.27,53,4,25,0,0,16,0,15,6,0,0,1,0,1,0,0,15,1,
Mario,Rivera,--,--,--,,--,0,0,0,0,0,0,0,0,6,6,0,0,1,0,1,0,0,13,1,
Francisco,Rivera,"5'8""",135lbs.,"68""",Orthodox,Oct08 1981,4.07,41,3.16,68,1.01,63,68,0.6,11,7,0 (1 NC),0,3,0,3,4,3,103.58,12,
Jonathan,Rivera,--,155lbs.,--,,--,4.36,49,3.9,60,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,
Jimmie,Rivera,"5'4""",135lbs.,"68""",Orthodox,Jun29 1989,4.1,40,3.88,61,0.7,23,95,0,22,4,0,1,2,0,2,2,0,107.03,9,
Nicdali,Rivera-Calanoc,"5'3""",105lbs.,--,,Jun12 1985,1.82,20,2.42,78,0,0,0,0,9,10,0,0,1,0,1,0,1,4.95,1,
Pedro,Rizzo,"6'1""",241lbs.,--,Orthodox,May03 1974,1.93,34,3.02,50,0.26,28,78,0,19,10,0,0,3,0,4,13,0,172.9,18,
Justin,Robbins,"5'5""",135lbs.,--,,Jul29 1980,0.67,37,3.2,47,0,0,0,0,12,10,1,0,1,0,1,0,0,15,1,
Kali,Robbins,"5'3""",115lbs.,"63""",Orthodox,Jul05 1984,3.73,46,9.4,44,2,33,0,0,6,2,0,0,0,0,0,0,0,0,0,
Karl,Roberson,"6'1""",185lbs.,"74""",Southpaw,Oct04 1990,3.19,61,1.52,65,1.07,75,50,0.7,8,2,0,2,1,1,0,0,3,41.78,6,
Andre,Roberts,"6'2""",345lbs.,--,Orthodox,Feb24 1965,0,0,0,0,0,0,0,0,14,2,1,2,1,1,0,2,0,11.57,3,
David,Roberts,"6'1""",170lbs.,--,Orthodox,Nov15 1975,0,0,0,0,0,0,0,0,5,8,0,0,1,0,1,1,0,1.38,1,
Joey,Roberts,"6'2""",200lbs.,--,,--,0,0,0,0,0,0,0,0,4,3,0,0,1,0,1,1,0,1.02,1,
Tyrone,Roberts,"5'9""",185lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,39,10,1,1,0,1,0,0,0,15,1,
Ryan,Roberts,"5'6""",155lbs.,--,Orthodox,Jul16 1978,0,0,22.5,45,0,0,0,0,16,10,1 (1 NC),0,1,0,1,0,1,0.27,1,
Taylor,Roberts,"5'11""",170lbs.,--,,--,0,0,0,0,0,0,0,0,3,7,0,0,1,0,1,1,0,0.28,1,
Daniel,Roberts,"5'10""",170lbs.,"74""",Southpaw,Aug05 1980,0.73,20,2.27,46,2.46,44,40,2.5,12,4,0,0,3,0,3,1,2,66.98,7,
Buddy,Roberts,"6'2""",185lbs.,--,Orthodox,Oct17 1982,2.17,34,2.08,70,0,0,76,0.7,12,3,0,1,1,0,1,1,0,23.08,2,
Danny,Roberts,"6'1""",170lbs.,"74""",Southpaw,Jul14 1987,3.36,42,3.11,54,0,0,54,0.4,16,5,0,1,2,0,2,5,2,74,9,
Roosevelt,Roberts,"6'1""",155lbs.,"74""",Orthodox,Feb11 1994,3.23,53,2.71,48,2.5,63,55,0.7,8,1,0,2,1,0,1,0,1,34.83,3,
Kenny,Robertson,"5'10""",170lbs.,"74""",Orthodox,Feb14 1984,3.72,47,3.02,52,1.37,26,57,0.8,15,5,0,1,2,0,2,2,2,87.88,9,
Gillian,Robertson,"5'5""",125lbs.,"63""",,May17 1995,2.01,51,1.95,56,3.77,53,0,1.4,7,3,0,2,1,2,0,1,4,31.87,6,
Chad,Robichaux,"5'4""",135lbs.,--,,Aug18 1975,0,0,0,0,0,0,0,0,11,2,0,1,0,1,0,0,0,13,1,
Mark,Robinson,"6'0""",265lbs.,--,Orthodox,--,0,0,5.8,13,0,0,0,0,1,0,0 (1 NC),0,0,0,0,0,0,3.45,1,
Colin,Robinson,"6'4""",243lbs.,--,Orthodox,Nov27 1968,6.19,69,7.91,37,2.58,100,50,5.2,9,10,0,0,2,0,2,2,0,5.82,2,
Alvin,Robinson,"5'9""",155lbs.,"68""",Southpaw,Jul16 1982,1.57,50,1.29,51,1.24,50,25,1.2,12,6,0,1,2,0,2,1,2,36.42,4,
Vagner,Rocha,"5'10""",155lbs.,"73""",Orthodox,Jun06 1982,2.64,42,4.5,48,1.4,33,50,1.9,11,4,0,1,2,0,2,1,2,47.22,5,
Carlos Eduardo,Rocha,"5'10""",170lbs.,"70""",Orthodox,Jul12 1981,1.24,34,1.85,55,0,0,52,1.4,9,2,0,1,2,0,2,0,1,32.35,3,
Keith,Rockel,"6'0""",185lbs.,--,Orthodox,--,1.13,73,0.21,66,4.63,75,100,4.6,12,4,1,1,1,1,0,0,2,9.72,2,
Luke,Rockhold,"6'3""",205lbs.,"77""",Southpaw,Oct17 1984,4.18,48,2.43,56,0.67,30,68,1.1,16,5,0,1,2,0,2,10,7,140.05,19,
Kevin,Roddy,"5'11""",145lbs.,--,,--,2.64,30,2.38,60,0,0,50,0,10,13,1 (1 NC),0,1,0,1,0,0,15,1,
Bruno,Korea,"5'6""",135lbs.,"65""",,Jun28 1991,2.01,34,3.42,40,0,0,25,0,4,2,0,0,1,0,1,0,1,13.45,1,
Paul,Rodriguez,"5'7""",155lbs.,--,Orthodox,--,0.84,100,1.68,68,0,0,50,0,10,8,2,0,3,0,3,0,2,18.57,3,
Ricco,Rodriguez,"6'4""",265lbs.,--,Orthodox,Aug19 1977,1.85,51,1.15,61,2.3,39,40,1,47,13,0 (1 NC),1,2,0,2,8,1,169.33,16,
Manuel,Rodriguez,"5'9""",170lbs.,"68""",Orthodox,Apr25 1985,0.81,33,3.23,38,9.09,75,0,0,10,4,0,0,1,0,1,1,0,4.95,1,
Yair,Rodriguez,"5'11""",145lbs.,"71""",,Oct06 1992,4.06,43,3.1,58,1.02,33,68,1,12,2,0 (1 NC),1,1,1,0,4,0,117.88,10,
Mike,Rodriguez,"6'4""",205lbs.,"82""",Southpaw,Nov28 1988,4.31,52,3.38,45,0,0,38,0,10,4,0,1,2,0,1,1,0,32.98,3,
Marina,Rodriguez,"5'6""",115lbs.,"65""",Orthodox,Apr29 1987,6.18,53,3.06,58,0.62,33,84,0.3,12,0,1,2,0,2,0,0,0,45,3,
Daniel,Rodriguez,"6'1""",170lbs.,"75""",Southpaw,Dec31 1986,7.2,48,6.33,58,4,80,0,0,8,1,0,0,0,0,0,0,0,0,0,
Ray,Rodriguez,"5'7""",135lbs.,"69""",Orthodox,Dec10 1987,1.22,33,5.95,40,1.22,33,40,0,15,5,0,0,0,0,0,0,0,0,0,
Nick,Roehrick,"6'2""",205lbs.,"75""",Orthodox,Jul06 1987,2.31,17,6.92,44,0,0,0,0,7,1,0,0,1,0,1,1,0,12.13,1,
Marcos,Rogerio de Lima,"6'1""",253lbs.,"75""",Orthodox,Jun25 1985,3.55,54,2.61,54,0.78,60,36,0.8,16,7,1,1,2,0,1,3,5,57.48,10,
Brett,Rogers,"6'5""",265lbs.,"81""",Orthodox,Feb17 1981,3.17,44,3.2,46,0,0,58,0,11,4,0 (1 NC),0,3,0,3,6,1,27.17,7,
Brian,Rogers,"5'11""",185lbs.,--,,Feb15 1984,4.79,38,5.76,58,1.22,50,100,0.6,11,8,0,1,0,1,0,1,0,4.38,1,
Pete,Rogers Jr.,"6'0""",145lbs.,--,,--,0.66,15,1.71,65,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,
Shane,Roller,"5'10""",155lbs.,"72""",Orthodox,Jul14 1979,2.04,34,2.65,60,2.46,33,42,1.9,11,7,0,1,2,0,1,3,8,109.62,14,
Jared,Rollins,"5'9""",170lbs.,--,Orthodox,Jan26 1977,3.33,57,2.41,39,2.5,50,50,1.2,8,4,0,0,1,0,1,1,0,12.02,1,
Tim,Roman,"6'1""",170lbs.,--,,Jun08 1985,0.6,40,2.4,40,1,100,16,0,3,4,0,0,0,0,0,0,0,0,0,
Alexander,Romanov,"6'0""",265lbs.,--,,Dec11 1990,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,
Ricardo,Romero,"6'0""",205lbs.,"76""",Orthodox,Apr15 1978,2.17,55,4.77,46,1.63,10,100,3.3,11,3,0,1,2,0,2,2,1,9.22,3,
Yoel,Romero,"6'0""",185lbs.,"73""",Southpaw,Apr30 1977,3.71,49,3.21,60,1.79,31,78,0,13,4,0,1,2,0,2,8,0,176.22,13,
Mara,Romero Borella,"5'6""",125lbs.,"69""",Orthodox,Jun03 1986,2.98,35,2.87,73,1.68,41,66,0.3,12,6,0 (2 NC),1,2,0,1,1,1,44.67,4,
Jesse,Ronson,"5'10""",155lbs.,"72""",Southpaw,Dec24 1985,3.09,46,2.73,59,0.67,40,61,0.3,19,8,0,0,3,0,3,0,0,45,3,
