First,Last,Height,Weight,Reach,Stance,Birth,SLpM,Str. Acc., SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws, Last_3_W, Last_3_L, W_Streak, L_Streak, KOs, Subs, UFC_Fights, Fight_Time,
Bobby,Moffett,"5'10""",145lbs.,"73""",Orthodox,Jun01 1990,3.41,39,3.15,61,2.74,66,66,1.4,14,5,0,1,2,0,2,0,1,37.72,3,
Bronson,Mohika,--,135lbs.,--,,--,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Nate,Mohr,"5'9""",155lbs.,"72""",Orthodox,Mar03 1983,3.79,41,2.5,74,0.45,50,71,0,9,7,0,1,2,0,2,1,2,33.23,4,
Thiago,Moises,"5'9""",155lbs.,"70""",Orthodox,Mar23 1995,2.96,45,3.38,57,1.22,36,68,1.5,12,4,0,1,2,0,1,0,0,45,3,
Ashkan,Mokhtarian,"5'6""",125lbs.,"67""",Southpaw,Sep15 1985,1.95,43,3.66,43,0.54,16,33,0,13,3,0,0,2,0,2,1,0,27.63,2,
Suman,Mokhtarian,"5'10""",145lbs.,"67""",Orthodox,Jun13 1992,2.24,55,10.3,46,0,0,0,0,8,1,0,0,1,0,1,1,0,2.23,1,
Rudyard,Moncayo,"5'10""",195lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,1.13,1,
Hidetaka,Monma,"6'0""",168lbs.,--,Orthodox,Oct23 1973,1.67,25,9.76,34,0,0,0,0,17,10,4,0,1,0,1,1,0,4.2,1,
Jeff,Monson,"5'9""",247lbs.,"74""",Orthodox,Jan18 1971,0.97,30,2.87,59,1.06,12,66,0.7,43,12,1,1,2,0,2,2,3,138.6,12,
Darrell,Montague,"5'6""",125lbs.,"67""",Southpaw,Nov03 1987,1.92,25,5.38,52,0.72,25,33,1.4,13,5,0,0,3,0,3,2,0,20.82,3,
Andrew,Montanez,--,185lbs.,--,,--,0,0,0,0,0,0,0,0,9,12,1,1,1,1,0,1,0,15.17,2,
Augusto,Montano,"6'1""",170lbs.,"73""",Orthodox,Oct25 1984,3.46,46,2.66,56,0,0,66,0,15,3,0,1,2,0,2,2,0,34.15,3,
Erick,Montano,"6'0""",170lbs.,"73""",Orthodox,Nov19 1985,2.79,44,2.06,64,2.29,36,66,0,8,5,0,1,2,0,2,1,1,26.2,3,
Nicco,Montano,"5'5""",135lbs.,"65""",Southpaw,Dec16 1988,5.6,41,4.43,64,2.25,54,69,0.4,5,3,0,1,1,0,1,0,0,40,2,
Alberto,Montes,"5'7""",135lbs.,--,,May31 1994,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
Steve,Montgomery,"6'4""",185lbs.,"75""",Southpaw,Dec19 1990,4.85,39,4.12,47,0,0,64,0,8,4,0,0,2,0,2,1,0,17.72,2,
James,Moontasri,"5'10""",170lbs.,"71""",Switch,Apr10 1988,2.39,48,3.86,40,0,0,79,0.2,9,5,0,1,2,0,2,1,2,59.35,6,
Homer,Moore,"5'10""",205lbs.,--,Orthodox,Nov27 1971,0.68,50,0.68,0,5.07,66,0,0,25,9,2,0,1,0,1,0,1,5.92,1,
Todd,Moore,"5'9""",170lbs.,"71""",Southpaw,Dec30 1983,1.83,26,2.3,57,0.78,14,54,0,14,5,0,1,2,0,1,0,2,49.17,5,
Nate,Moore,"6'0""",170lbs.,--,,--,2.21,25,2.87,42,1.23,16,25,0,7,3,0,1,2,0,1,3,1,20.6,4,
Dustin,Moore,"5'4""",125lbs.,--,,--,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
Sergio,Moraes,"6'0""",170lbs.,"72""",Orthodox,Jul23 1982,2.38,42,3.43,62,1.22,40,75,0.5,14,6,1,1,2,0,2,3,3,160.4,14,
Marlon,Moraes,"5'6""",135lbs.,"67""",Orthodox,Apr26 1988,3.41,38,3.63,58,0.3,16,66,0.6,22,6,1,2,1,0,1,3,1,49.8,6,
Sheymon,Moraes,"5'8""",145lbs.,"72""",Orthodox,Oct11 1990,3,42,3.64,63,0,0,53,0,11,4,0,1,2,0,2,1,1,62.62,5,
John,Moraga,"5'6""",125lbs.,"66""",Orthodox,Mar20 1984,2.57,43,2.55,56,0.62,23,44,1.1,19,7,0,2,1,0,1,4,4,168.32,14,
Ricardo,Morais,"6'8""",270lbs.,--,Orthodox,Feb26 1967,2.86,37,2.39,53,0,0,0,0,10,4,1,1,2,1,0,2,0,14.38,3,
Leonardo,Morales,"5'8""",135lbs.,"68""",Southpaw,Dec22 1992,2.05,47,2.05,58,0,0,62,0,5,2,0,0,2,0,2,0,1,17.57,2,
Albert,Morales,"5'9""",135lbs.,"72""",Orthodox,May25 1991,3.81,35,3.96,56,0.91,35,70,0.2,7,4,1,0,3,0,3,1,1,74.17,6,
Joseph,Morales,"5'6""",125lbs.,"69""",Switch,Aug22 1994,1.58,37,1.72,60,0.53,50,23,2.6,9,2,0,1,2,0,2,1,1,28.5,3,
Vince,Morales,"5'7""",135lbs.,"70""",Orthodox,Nov12 1990,4.84,39,3.76,56,0,0,55,0,9,4,0,1,2,0,1,0,0,45,3,
Omar,Morales,"5'11""",155lbs.,--,Orthodox,Oct17 1985,7.21,66,3.77,50,0,0,100,0,7,0,0,0,0,0,0,0,0,0,0,
